Propossal ID,Programme Name,Sub-Programme,Supplement,Lead Applicant,ORCID ID,Research Body,Research Body ROR ID,Funder Name,Funder ROR ID,Propossal title,Start Date,End Date,Current Total Commitment,Discipline
GOIPG/2024/5116,Government of Ireland Postgraduate Scholarship (GOIPG),,,Giulia Bernuzzi,https://orcid.org/0009000596294035,University College Cork (UCC),https://ror.org/03265fv13,Research Ireland,https://ror.org/010t7sr36,Climate Change and Urban Space in Contemporary Italian Literautre,01/09/2024,31/08/2027,"€93,000.00",AHSS
GOIPG/2024/5155,Government of Ireland Postgraduate Scholarship (GOIPG),,,Daniel Dupkala,https://orcid.org/0009000905164972,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Research Ireland,https://ror.org/010t7sr36,The best of both worlds: combining ground-based high-resolution spectroscopy with the James Webb Space Telescope to probe exoplanet atmospheres in 3D,01/09/2024,31/08/2028,"€124,000.00",STEM
GOIPG/2024/5169,Government of Ireland Postgraduate Scholarship (GOIPG),,,Robert Hannan,https://orcid.org/0009000634625959,University of Limerick (UL),https://ror.org/00a0n9e72,Research Ireland,https://ror.org/010t7sr36,Impact of Perceived Unfairness and Bias Relating to Diversity in Promotional Practices within an Educational Context,01/09/2024,31/08/2026,"€61,704.00",AHSS
GOIPG/2024/5183,Government of Ireland Postgraduate Scholarship (GOIPG),,,Gráinne Gibson,https://orcid.org/0000-0001-6839-1616,University of Limerick (UL),https://ror.org/00a0n9e72,Research Ireland,https://ror.org/010t7sr36,Unravelling the Intricacies Affecting Climate Action in Firms: The Role of Research and Development (R&D) and Digital Skill Shortages.,01/09/2024,31/08/2027,"€92,556.00",AHSS
GOIPG/2024/5188,Government of Ireland Postgraduate Scholarship (GOIPG),,,Monica Namanya,https://orcid.org/0009000441680142,University of Galway,https://ror.org/03bea9k73,Research Ireland,https://ror.org/010t7sr36,Community Citizens on the Move: Exploring the Relevance of Free Movement Frameworks as an Alternative to Addressing Climate and Conflict-Induced Migration Among South Sudanese and Somali Nationals in Uganda and Kenya.,01/09/2024,31/08/2027,"€93,000.00",AHSS
GOIPG/2024/5193,Government of Ireland Postgraduate Scholarship (GOIPG),,,Majid Kavousi,https://orcid.org/0000-0002-5863-1847,University of Galway,https://ror.org/03bea9k73,Research Ireland,https://ror.org/010t7sr36,Process-structure-property-performance modelling for additive manufacturing of biomedical implants,01/09/2024,31/08/2025,"€31,000.00",STEM
GOIPG/2024/5207,Government of Ireland Postgraduate Scholarship (GOIPG),,,Ailbhe Dempsey,https://orcid.org/0000-0002-3895-434X,University of Limerick (UL),https://ror.org/00a0n9e72,Research Ireland,https://ror.org/010t7sr36,"Religiosity, spirituality, and cardiovascular responses to acute psychological stress",01/09/2024,31/08/2025,"€30,852.00",AHSS
GOIPG/2024/5208,Government of Ireland Postgraduate Scholarship (GOIPG),,,Urte Vityte,https://orcid.org/0009000232468495,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Research Ireland,https://ror.org/010t7sr36,Dual Modality Metallocages as Cancer Theranostics,01/09/2024,31/08/2028,"€124,000.00",STEM
GOIPG/2024/5210,Government of Ireland Postgraduate Scholarship (GOIPG),,,John McGrath,https://orcid.org/0000-0003-4980-5697,Dublin City University (DCU),https://ror.org/04a1a1e81,Research Ireland,https://ror.org/010t7sr36,Challenges and Opportunities in Creating an Online Harms Framework,01/09/2024,31/07/2025,"€30,155.00",AHSS
GOIPG/2024/5217,Government of Ireland Postgraduate Scholarship (GOIPG),,,Colette Byrne,https://orcid.org/0009-0000-9108-5000,Dublin City University (DCU),https://ror.org/04a1a1e81,Research Ireland,https://ror.org/010t7sr36,"Marketisation Evolvement: Questions, Answers and Challenges",01/09/2024,31/08/2027,"€90,465.00",AHSS
